Animal,Age,Separation,NN red,NN green,NN mean
gm116-2,0,620,62.3,48.4,55.4
gm116-3,0,1305,45.9,82.9,64.4
gm116-5,0,980,47.6,46.6,47.1
gm119-1,0,445,59.3,47.3,53.3
gm119-2,0,770,54.9,17.6,36.3
gm119-3,0,575,15.4,74.6,45.0
gm119-4,0,400,48.6,37.1,42.9
gm121-1,0,650,45.7,61.3,53.5
gm150-3,0,1070,67.1,30.6,48.9
gm156-1,0,1500,46.2,58.9,52.6
gm156-2,0,1720,24.7,79.2,52.0
gm156-3,0,1700,51.0,73.9,62.5
m641-4,2,600,58.7,59.7,59.2
m643-1,2,650,58.6,40.8,49.7
m643-2,2,900,69.1,26.0,47.6
m657-1,2,1250,52.5,80.3,66.4
m662-1,2,300,53.0,48.1,50.6
m662-2,2,1000,55.1,49.2,52.2
m662-3,2,1300,34.3,45.8,40.1
gm111-1,2,770,44.6,52.0,48.3
gm117-1,2,500,71.6,39.6,55.6
gm117-2,2,400,64.5,58.0,61.3
gm117-4,2,580,38.0,70.6,54.3
gm117-5,2,780,21.4,89.8,55.6
gm142-1,2,800,78.0,55.8,66.9
gm143-1,2,1035,96.2,96.9,96.6
gm154-3,2,1171,70.3,46.6,58.5
gm154-4,2,1384,77.4,66.2,71.8
m642-1,4,700,70.0,75.4,72.7
m642-2,4,300,47.2,47.7,47.5
m642-4,4,400,48.1,54.7,51.4
m642-5,4,750,52.7,75.4,64.1
m642-6,4,1000,79.7,75.8,77.7
m642-7,4,400,46.3,76.2,61.3
m660-1,4,800,91.6,78.1,84.9
m660-3,4,300,23.1,86.8,55.0
m661-1,4,1000,41.2,78.2,59.7
m661-2,4,700,96.2,60.6,78.4
m661-3,4,800,87.1,60.6,73.9
gm107-2,4,290,62.2,58.0,60.1
gm142-3,4,457,93.8,87.9,90.9
gm142-5,4,1212,83.6,84.7,84.2
gm112-4,6,200,77.1,82.4,79.8
gm122-2,6,300,83.9,45.2,64.6
gm122-4,6,50,42.9,70.8,56.9
gm125-1,6,233,95.5,82.4,89.0
gm125-3,6,100,64.0,80.5,72.3
gm125-4,6,304,74.8,91.8,83.3
gm125-5,6,334,62.5,97.8,80.2
gm140-4,6,370,50.8,90.6,70.7
gm140-5,6,114,67.1,78.9,73.0
gm141-3,6,205,90.0,79.6,84.8
gm141-4,6,50,37.6,55.3,46.5
gm143-3,6,400,83.6,80.2,81.9
gm143-4,6,400,93.5,68.9,81.2
gm143-5,6,300,64.9,72.6,68.8
gm178-1,6,105,96.0,48.9,72.5
gm178-3,6,602,96.8,88.0,92.4
gm138-4,8,80,50.8,59.7,55.3
gm138-5,8,281,87.9,83.1,85.5
gm138-6,8,101,78.4,68.9,73.7
gm141-6,8,40,72.1,41.0,56.6
gm141-7,8,95,94.1,65.3,79.7
gm184-1,8,40,67.2,81.6,74.4
gm184-2,8,145,65.2,43.4,54.3
gm184-4,8,50,72.0,84.7,78.4
gm184-5,8,60,73.8,76.8,75.3
gm257-1,8,79,69.2,63.4,66.3
gm257-2,8,192,72.2,45.5,58.9
gm257-3,8,124,68.3,36.8,52.6
gm257-4,8,157,91.8,55.9,73.9
gm257-5,8,356,86.5,38.3,62.4
gm258-3,8,209,45.8,77.6,61.7
gm278-3,8,258,81.9,46.9,64.4
gm278-5,8,156,69.1,62.1,65.6
gmt188-3,8,300,89.8,82.4,86.1
gmt188-5,8,297,91.1,80.1,85.6
gmt191-2,8,500,96.8,94.3,95.6
gmt191-4,8,350,84.2,78.5,81.4
gmt199-3,8,205,93.0,68.4,80.7
gmt199-9,8,198,69.3,78.2,73.8
gmt200-5,8,250,68.1,61.3,64.7
gmt200-9,8,309,73.1,89.4,81.3
gmt217-1,8,190,69.4,84.8,77.1
gmt217-2,8,532,99.6,97.1,98.4
gmt217-8,8,100,72.8,66.8,69.8
m659-3,12,200,95.7,77.4,86.6
gm114-1,12,280,93.0,89.7,91.4
gm115-1,12,280,100.0,100.0,100.0
gm128-7,16,250,82.1,92.7,87.4
gm128-8,16,120,94.3,93.4,93.9
gm263-1,16,119,55.8,85.1,70.5
gm263-3,16,100,44.2,64.8,54.5
gm267-2,16,85,75.7,37.9,56.8
gm128-2,12,80,79.1,42.4,60.8
gm128-4,12,176,90.4,92.7,91.6
gm187-1,12,113,69.50,69.60,69.6
gm187-2,12,131,57.20,69.50,63.4
gm187-3,12,122,59.00,88.70,73.9
gm187-4,12,148,58.80,83.10,71.0
gm187-5,12,101,69.70,74.50,72.1
gm262-1,12,250,93.2,92.5,92.9
gm262-4,12,240,96.8,83.3,90.1
gm264-2,12,366,99.2,98.9,99.1
gm264-3,12,55,55.0,45.3,50.2
gm264-4,12,26,58.0,41.3,49.7
gm284-1,12,269,99.0,100.0,99.5
gm284-4,12,252,81.3,95.2,88.3
gm128-7,16,195,74.1,90.1,82.1
gm128-8,16,150,83.1,62.4,72.8
gm263-1,16,160,49.1,78.5,63.8
gm263-3,16,212,95.5,100.0,97.8
gm267-2,16,91,40.0,67.0,53.5
gm120-1,22,60,63.9,60.9,62.4
gm120-2,22,150,86.1,92.7,89.4
gm124-3,22,47,39.7,70.6,55.2
gm124-5,22,56,58.1,69.7,63.9
gm130-2,22,89,86.8,53.1,70.0
gm114-4,22,110,67.0,73.7,70.4
gm186-1,22,137,72.0,76.2,74.1
gm186-2,22,284,99.1,93.5,96.3
gm186-3,22,215,96.0,91.7,93.9
gm186-5,22,148,78.8,74.5,76.7
gm262-6,22,346,100.0,100.0,100.0
gm119-5,60,180,100.0,100.0,100.0
gm122,60,83,70.1,71.6,70.9
gm126,60,150,93.4,94.0,93.7
gm133,60,185,97.1,96.8,97.0
gm134,60,37,64.5,53.6,59.1
gm136,60,140,83.8,36.8,60.3
gm137,60,128,95.1,83.6,89.4
gm140,60,345,100.0,100.0,100.0
gm150,60,30,78.0,17.2,47.6
gm154,60,53,53.0,54.2,53.6
gm157,60,90,89.1,75.0,82.1
gm247,60,696,100.0,100.0,100.0
gm269,60,140,97.3,98.3,97.8
gm282,60,78,95.3,91.3,93.3
gm283,60,189,98.6,97.0,97.8
